"typ";"leitidee";"thema";"definition";"beispiel_id";"status"
"Trägerebene über Normalenvektor begründen";"Analytische Geometrie";"Ebenen";"Aus dem Richtungsvektor einer zur Ebene orthogonalen Geraden die Lage der Trägerebene erschließen und begründen.";"2018-bb-ea-A1.2a";"neu"
"Eckpunkt eines Quadrates nachweisen";"Analytische Geometrie";"Orthogonalität";"Über Länge und Skalarprodukt der Halbdiagonalen nachweisen, dass ein gegebener Punkt Eckpunkt eines Quadrates ist, und ihn als benachbart oder gegenüberliegend einordnen.";"2018-bb-ea-A1.2b";"neu"
"Schnittpunkt Gerade Koordinatenebene berechnen";"Analytische Geometrie";"Schnittmengen";"Den Parameter einer Geradengleichung so bestimmen, dass der Punkt in einer Koordinatenebene liegt.";"2018-bb-ea-A1.2b";"neu"
"Streckenlänge im Raum berechnen";"Analytische Geometrie";"Abstände";"Die Länge einer Strecke im Raum als Betrag des Verbindungsvektors berechnen.";"2018-bb-ea-A1.2b";"neu"
"Nullstellen einer Funktionenschar mit Fallunterscheidung ermitteln";"Analysis";"Funktionsscharen und Ortskurven";"Die Anzahl und Lage der Nullstellen einer Schar in Abhängigkeit vom Parameter mit Fallunterscheidung bestimmen.";"2018-bb-ea-B2.1a";"neu"
"Grenzverhalten einer Exponentialfunktion untersuchen";"Analysis";"Grenzwerte und Verhalten im Unendlichen";"Das Verhalten der Funktionswerte eines Produkts aus Polynom und Exponentialfunktion für x gegen plus und minus unendlich bestimmen.";"2018-bb-ea-B2.1a";"neu"
"Schnittpunkt mit der y-Achse angeben";"Analysis";"Funktionsklassen und Eigenschaften";"Den Funktionswert an der Stelle 0 bestimmen und als Punkt angeben.";"2018-bb-ea-B2.1b";"neu"
"Parameterwert aus dem Graphen einer Schar ermitteln";"Analysis";"Funktionsscharen und Ortskurven";"Aus einem abgebildeten Graphen einer Schar den zugehörigen Parameterwert erschließen.";"2018-bb-ea-B2.1b";"neu"
"Graphen einer Schar beschriften";"Analysis";"Funktionsscharen und Ortskurven";"Abgebildete Graphen einer Schar den ermittelten Parameterwerten zuordnen und im Koordinatensystem kennzeichnen.";"2018-bb-ea-B2.1b";"neu"
"Fläche zwischen zwei Graphen berechnen";"Analysis";"Flächeninhalt durch Integration";"Den Inhalt einer von zwei Graphen und Randgeraden eingeschlossenen Fläche über das Integral der Differenzfunktion berechnen.";"2018-bb-ea-B2.1c";"neu"
"Fehlen von Extrempunkten einer Schar nachweisen";"Analysis";"Kurvenuntersuchung";"Über die notwendige Bedingung und das Vorzeichen des Radikanden nachweisen, dass eine Schar für einen Parameterbereich keine Extrempunkte hat.";"2018-bb-ea-B2.1d";"neu"
"Ableitung mit Produkt- und Kettenregel bilden";"Analysis";"Ableitungsregeln";"Die Ableitung eines Produkts aus Polynom und Exponentialfunktion bilden und zusammenfassen.";"2018-bb-ea-B2.1d";"neu"
"Zweite Ableitung nachweisen";"Analysis";"Ableitungsregeln";"Einen vorgegebenen Term als zweite Ableitung durch eigene Rechnung bestätigen.";"2018-bb-ea-B2.1e";"neu"
"Krümmungsverhalten aus der zweiten Ableitung deuten";"Analysis";"Kurvenuntersuchung";"Aus dem Vorzeichen der zweiten Ableitung Krümmung, Wendepunkte und Flachpunkte eines Graphen erschließen.";"2018-bb-ea-B2.1e";"neu"
"Tangentengleichung an einer Stelle ermitteln";"Analysis";"Tangente, Normale, Schnittwinkel";"Die Gleichung der Tangente an einen Graphen an einer gegebenen Stelle aus Funktionswert und Ableitung bestimmen.";"2018-bb-ea-B2.1f";"neu"
"Relative Abweichung zweier Funktionswerte prüfen";"Analysis";"Tangente, Normale, Schnittwinkel";"Die Abweichung eines Näherungswerts vom Funktionswert relativ berechnen und gegen eine Schranke prüfen.";"2018-bb-ea-B2.1f";"neu"
"Stellen mit maximalem Funktionswert einschließlich Rand bestimmen";"Analysis";"Kurvenuntersuchung";"Die Stellen des größten Funktionswerts auf einem Intervall bestimmen und dabei lokale Extrema und Randwerte vergleichen.";"2018-bb-ea-B2.1g";"neu"
"Integralfunktion im Sachzusammenhang deuten";"Analysis";"Rotationsvolumen";"Ein Integral mit variabler Grenze als Größe im Sachkontext deuten.";"2018-bb-ea-B2.1h";"neu"
"Umbeschriebenes Prisma zu einem Rotationskörper bestimmen";"Analysis";"Rotationsvolumen";"Aus dem maximalen Radius eines Rotationskörpers die Grundfläche und das Mindestvolumen eines umbeschriebenen Prismas bestimmen.";"2018-bb-ea-B2.1i";"neu"
"Flächeninhalt eines regelmäßigen Sechsecks aus dem Inkreisradius berechnen";"Analysis";"Rotationsvolumen";"Den Flächeninhalt eines regelmäßigen Sechsecks über die Zerlegung in Dreiecke aus dem Inkreisradius berechnen.";"2018-bb-ea-B2.1i";"neu"
"Sachzusammenhang durch Skizze und Gleichung darstellen";"Analysis";"Rotationsvolumen";"Einen geometrischen Zusammenhang durch eine eigene Skizze und eine Gleichung darstellen.";"2018-bb-ea-B2.1i";"neu"
