"id";"jahr";"papier";"block";"aufgabe";"titel";"teilaufgabe";"seite";"punkte";"stern";"hilfsmittel";"afb_amtlich";"leitidee";"thema";"typ";"typ_neben";"stichwoerter";"voraussetzungen";"format";"operator";"antwort";"material";"skizze";"kontext";"textumfang";"gegeben";"gesucht";"verfahren";"schritte";"zahlenraum";"einheiten";"abhaengig_von";"ergebnis";"zwischenergebnis";"niveau_geschaetzt";"fehlerquelle";"bemerkung"
"2026MgrundlegendAAnalysis11-a";"2026";"2026-iqb-ga";"A";"1.1";"Analysis";"a";"1";"2";"";"nein";"I";"Analysis";"Kurvenuntersuchung";"Extrempunkt an vorgegebener Stelle nachweisen";"";"ganzrationale Funktion dritten Grades|notwendige Bedingung|hinreichende Bedingung|zweite Ableitung";"Potenzregel anwenden|Vorzeichen der zweiten Ableitung deuten";"Begründung";"Weisen Sie nach";"Text";"keins";"keine";"ohne";"kurz";"f(x) = x^3 − 3x, definiert in IR; Graph G";"Nachweis, dass G einen Hochpunkt mit der x-Koordinate −1 hat";"erste und zweite Ableitung bilden, f'(−1) = 0 und f''(−1) < 0 zeigen";"3";"ganz|negativ|Potenz";"";"";"f'(x) = 3x^2 − 3, f''(x) = 6x; f'(−1) = 0 und f''(−1) = −6 < 0, also Hochpunkt bei x = −1 (amtlich)";"f'(x) = 3x^2 − 3|f''(x) = 6x";"I";"nur f'(−1) = 0 zeigen und die hinreichende Bedingung weglassen";"Standardbezug: K1 I, K2 I, K5 I. Amtlich, eigene Rechnung bestätigt."
"2026MgrundlegendAAnalysis11-b";"2026";"2026-iqb-ga";"A";"1.1";"Analysis";"b";"1";"3";"";"nein";"I|II";"Analysis";"Kurvenuntersuchung";"Abstand zweier Extrempunkte über die Punktsymmetrie berechnen";"";"Punktsymmetrie zum Ursprung|Hochpunkt|Tiefpunkt|Abstand zweier Punkte";"Funktionswert berechnen|Abstand zweier Punkte mit dem Satz des Pythagoras|Punktsymmetrie nutzen";"Rechnung";"Berechnen Sie";"Zahl";"keins";"keine";"ohne";"kurz";"f(x) = x^3 − 3x, definiert in IR; Graph G; G ist symmetrisch zum Koordinatenursprung; G hat einen Hochpunkt mit der x-Koordinate −1";"Abstand zwischen Hoch- und Tiefpunkt von G";"f(−1) = 2 berechnen, Hochpunkt H(−1; 2); wegen der Punktsymmetrie ist der Tiefpunkt T(1; −2); Abstand als Länge der Strecke HT, gleich dem Doppelten des Abstands von H zum Ursprung";"3";"ganz|negativ|Wurzel";"";"2026MgrundlegendAAnalysis11-a";"2 · √((−1)^2 + 2^2) = 2√5 (amtlich)";"f(−1) = 2|H(−1; 2)|T(1; −2)";"II";"den Tiefpunkt neu über die Ableitung berechnen statt die Symmetrie zu nutzen, oder nur den Abstand von H zum Ursprung angeben";"Standardbezug: K2 II, K4 I, K5 II. Amtlich, eigene Rechnung bestätigt: 2√5 ≈ 4,47."
"2026MgrundlegendAAnalysis12-a";"2026";"2026-iqb-ga";"A";"1.2";"Analysis";"a";"1";"2";"";"nein";"I";"Analysis";"Funktionsklassen und Eigenschaften";"Extrempunkte: Flächeninhalt eines Dreiecks aus Extrempunkten der Sinusfunktion berechnen";"";"Sinusfunktion|Extrempunkte|Dreieck|Grundseite 2π|Höhe 2";"Extrempunkte von sin x kennen|Dreiecksfläche aus Grundseite und Höhe";"Rechnung";"Berechnen Sie";"Zahl";"Koordinatensystem";"Koordinatensystem mit x-Achse von 0 bis 3π (Marken π/2, π, 3π/2, 2π, 5π/2, 3π) und y-Achse; gestrichelt der Graph von f(x) = sin x; durchgezogen das Dreieck ABC mit A(π/2; 1) und C(5π/2; 1) oben und B(3π/2; −1) unten, also drei aufeinanderfolgende Extrempunkte; die Seiten AB und BC schneiden die x-Achse bei π und 2π";"ohne";"kurz";"f(x) = sin x, definiert in IR; Dreieck ABC, dessen Eckpunkte drei direkt aufeinanderfolgende Extrempunkte des Graphen sind: A(π/2; 1), B(3π/2; −1), C(5π/2; 1) (aus der Abbildung)";"Flächeninhalt des Dreiecks ABC";"Grundseite AC mit Länge 2π und Höhe 2 (Abstand von B zur Geraden AC) ablesen, Fläche als halbes Produkt";"2";"ganz";"";"";"A = 1/2 · 2π · (1 − (−1)) = 2π (amtlich)";"Grundseite 2π|Höhe 2";"I";"die Höhe mit 1 statt 2 ansetzen, weil der Tiefpunkt bei −1 liegt";"Standardbezug: K2 I, K4 I, K5 I. Amtlich, eigene Rechnung bestätigt."
"2026MgrundlegendAAnalysis12-b";"2026";"2026-iqb-ga";"A";"1.2";"Analysis";"b";"1";"3";"";"nein";"II";"Analysis";"Funktionsklassen und Eigenschaften";"Extrempunkte: Abstand von Extrempunkten einer gestreckten Sinusfunktion vergleichen";"";"Streckung in x-Richtung|Streckung in y-Richtung|Faktor 3 und 2|Abstand der Extrempunkte";"Wirkung der Parameter a und b in a · sin(b · x) kennen|Streckenlänge aus Koordinatendifferenzen";"Begründung";"Untersuchen Sie";"Text";"Koordinatensystem";"Koordinatensystem mit x-Achse von 0 bis 3π (Marken π/2, π, 3π/2, 2π, 5π/2, 3π) und y-Achse; gestrichelt der Graph von f(x) = sin x; durchgezogen das Dreieck ABC mit A(π/2; 1) und C(5π/2; 1) oben und B(3π/2; −1) unten, also drei aufeinanderfolgende Extrempunkte; die Seiten AB und BC schneiden die x-Achse bei π und 2π";"ohne";"mittel";"f(x) = sin x mit den Extrempunkten A(π/2; 1) und B(3π/2; −1); g(x) = 2 · sin(1/3 · x), definiert in IR; betrachtet wird die Strecke zwischen zwei direkt aufeinanderfolgenden Extrempunkten des Graphen von g";"Untersuchung, ob diese Strecke kürzer als die Strecke AB ist";"den Graphen von g als Streckung des Graphen von f in x-Richtung mit Faktor 3 und in y-Richtung mit Faktor 2 erkennen; beide Faktoren größer als 1, also wächst die waagerechte und die senkrechte Differenz der Extrempunkte, die Strecke ist länger";"2";"ganz|Bruch";"";"2026MgrundlegendAAnalysis12-a";"nein, die Strecke ist nicht kürzer als AB, weil der Graph von g durch Streckung in x- und in y-Richtung mit Faktoren größer als 1 aus dem Graphen von f entsteht (amtlich)";"rechnerisch: |AB| = √(π^2 + 4) ≈ 3,72; bei g Extrempunkte (3π/2; 2) und (9π/2; −2) mit Abstand √(9π^2 + 16) ≈ 10,24";"II";"den Faktor 1/3 als Stauchung in x-Richtung deuten";"Standardbezug: K1 II, K4 II, K6 II. Amtlich; das amtliche Ergebnis argumentiert ohne Rechnung, eigene Rechnung bestätigt."
"2026MgrundlegendAAnalysis13-a";"2026";"2026-iqb-ga";"A";"1.3";"Analysis";"a";"1";"3";"";"nein";"I";"Analysis";"Stammfunktion und Hauptsatz";"Bestimmtes Integral einer ganzrationalen Funktion berechnen";"";"Stammfunktion|Hauptsatz|Integral von −1 bis 0|Bruchrechnung";"Potenzregel der Integration|Brüche addieren";"Rechnung";"Berechnen Sie";"Zahl";"Koordinatensystem";"Koordinatensystem mit x-Achse von −2 bis 2 und y-Achse von −3 bis 4, Gitter; Graph von f(x) = x^3 + x^2 − 2x: von links unten steil steigend durch die Nullstelle −2, Hochpunkt bei etwa (−1,2; 2,1), fallend durch den Ursprung, Tiefpunkt bei etwa (0,55; −0,6), Nullstelle 1, dann steil steigend";"ohne";"kurz";"f(x) = x^3 + x^2 − 2x, definiert in IR; Nullstellen −2, 0 und 1; Graph in der Abbildung";"Wert des Integrals von −1 bis 0 über f(x) dx";"Stammfunktion F(x) = 1/4 x^4 + 1/3 x^3 − x^2 bilden und F(0) − F(−1) berechnen";"2";"ganz|negativ|Bruch|Potenz";"";"";"13/12 (amtlich)";"F(x) = 1/4 x^4 + 1/3 x^3 − x^2|F(−1) = 1/4 − 1/3 − 1 = −13/12";"I";"beim Einsetzen von −1 die Vorzeichen der ungeraden Potenz verfehlen";"Standardbezug: K5 I. Amtlich, eigene Rechnung bestätigt."
"2026MgrundlegendAAnalysis13-b";"2026";"2026-iqb-ga";"A";"1.3";"Analysis";"b";"1";"2";"";"nein";"II";"Analysis";"Flächeninhalt durch Integration";"Integralwert: Summe zweier Integrale als Flächeninhalt beurteilen";"";"Fläche zwischen Graph und x-Achse|zwei Flächenstücke|negatives Integral|Vorzeichen";"Integral unterhalb der x-Achse als negativ erkennen";"Begründung";"Beurteilen Sie";"Text";"Koordinatensystem";"Koordinatensystem mit x-Achse von −2 bis 2 und y-Achse von −3 bis 4, Gitter; Graph von f(x) = x^3 + x^2 − 2x: von links unten steil steigend durch die Nullstelle −2, Hochpunkt bei etwa (−1,2; 2,1), fallend durch den Ursprung, Tiefpunkt bei etwa (0,55; −0,6), Nullstelle 1, dann steil steigend";"ohne";"mittel";"f(x) = x^3 + x^2 − 2x, definiert in IR; Nullstellen −2, 0 und 1; der Graph und die x-Achse schließen eine Fläche aus zwei Flächenstücken ein (über der Achse zwischen −2 und 0, unter der Achse zwischen 0 und 1); Term: Integral von −2 bis 0 über f plus Integral von 0 bis 1 über f";"Beurteilung, ob der Wert des Terms dem Inhalt dieser Fläche entspricht";"das zweite Integral ist negativ, weil der Graph zwischen 0 und 1 unter der x-Achse liegt; die Summe ist deshalb kleiner als der Flächeninhalt";"1";"ganz|negativ";"";"";"nein; das Integral von 0 bis 1 ist negativ und entspricht nicht dem Inhalt des Flächenstücks unter der x-Achse, das Integral von −2 bis 0 entspricht dem Flächenstück über der Achse, die Summe ist also nicht der Flächeninhalt (amtlich)";"rechnerisch: Integral von −2 bis 0 gleich 8/3, von 0 bis 1 gleich −5/12";"II";"jedes Integral als Flächeninhalt lesen und die Summe für richtig halten";"Standardbezug: K1 II, K4 II, K6 II. Amtlich, eigene Rechnung bestätigt."
"2026MgrundlegendAAnalysis14-a";"2026";"2026-iqb-ga";"A";"1.4";"Analysis";"a";"1";"2";"";"nein";"I";"Analysis";"Ableitungsgraph und Funktionsgraph";"Graphen von Funktion und Ableitung einander zuordnen";"";"Graph und Ableitungsgraph|negative Steigung|Vorzeichen der Ableitung|Zuordnung begründen";"Steigung des Graphen mit dem Vorzeichen der Ableitung verknüpfen";"Begründung";"Begründen Sie";"Text";"Koordinatensystem";"Koordinatensystem mit x-Achse von −3 bis 3 und y-Achse von −2 bis 2, Gitter; Graph I durchgezogen: von links unten flach steigend, Hochpunkt (0; 2), fallend zum Tiefpunkt (2; 0) mit Berührung der x-Achse, dann steil steigend; Graph II gestrichelt: von links nahe null, kleines Maximum bei etwa (−2; 0,3), Nullstelle 0, Tiefpunkt bei etwa (1; −1,6), Nullstelle 2, dann steil steigend";"ohne";"kurz";"Abbildung mit zwei Graphen I und II: der Graph einer in IR definierten Funktion f und der Graph ihrer Ableitungsfunktion f'; Graph I hat einen Hochpunkt bei (0; 2) und berührt die x-Achse bei 2, Graph II hat Nullstellen bei 0 und 2 und einen Tiefpunkt bei etwa (1; −1,6)";"Begründung, dass Graph I der Graph von f ist";"einen Bereich nennen, in dem Graph I fällt und Graph II negativ ist (0 bis 2), oder umgekehrt in dem Graph II fällt, Graph I aber nicht negativ ist; die Zuordnung Graph II = f' passt zu Graph I";"1";"ganz";"";"";"es gibt einen Bereich, in dem Graph II negative Steigung hat, Graph I dort aber keine Punkte unterhalb der x-Achse besitzt, also kann Graph I nicht die Ableitung von Graph II sein (amtlich)";"";"II";"nur behaupten, dass Graph II die Ableitung ist, ohne einen Bereich mit passendem Vorzeichen zu nennen";"Standardbezug: K1 I, K4 I. Amtlich. Die amtliche Begründung geht vom Widerspruch aus: Graph I kann nicht Ableitung von Graph II sein."
"2026MgrundlegendAAnalysis14-b";"2026";"2026-iqb-ga";"A";"1.4";"Analysis";"b";"1";"3";"";"nein";"I|II";"Analysis";"Flächeninhalt durch Integration";"Integralwert: Integral einer Differenzfunktion grafisch abschätzen";"";"Integral der Differenz|Fläche zwischen zwei Graphen|Vergleichsrechteck 4 mal 3|Eintragen in die Abbildung";"Integral einer Differenz als Fläche zwischen den Graphen deuten|Rechteckfläche berechnen";"Zeichnen";"Veranschaulichen Sie";"Grafik";"Koordinatensystem";"Koordinatensystem mit x-Achse von −3 bis 3 und y-Achse von −2 bis 2, Gitter; Graph I durchgezogen: von links unten flach steigend, Hochpunkt (0; 2), fallend zum Tiefpunkt (2; 0) mit Berührung der x-Achse, dann steil steigend; Graph II gestrichelt: von links nahe null, kleines Maximum bei etwa (−2; 0,3), Nullstelle 0, Tiefpunkt bei etwa (1; −1,6), Nullstelle 2, dann steil steigend";"ohne";"kurz";"Abbildung mit dem Graphen von f (Graph I, Hochpunkt (0; 2), Tiefpunkt (2; 0)) und dem Graphen von f' (Graph II, Nullstellen 0 und 2, Tiefpunkt bei etwa (1; −1,6)); Aussage: das Integral von −2 bis 2 über f(x) − f'(x) dx ist kleiner als 12";"grafische Veranschaulichung der Aussage durch Eintragungen in der Abbildung";"die Fläche zwischen Graph I und Graph II von x = −2 bis x = 2 schraffieren und ein Rechteck von x = −2 bis 2 und y = −2 bis 1 (Fläche 4 · 3 = 12) eintragen, das die schraffierte Fläche ganz enthält";"2";"ganz|negativ";"";"2026MgrundlegendAAnalysis14-a";"schraffierte Fläche zwischen den beiden Graphen über dem Intervall von −2 bis 2, umschlossen von einem Rechteck der Breite 4 und Höhe 3 mit Flächeninhalt 12 (amtlich)";"";"II";"nur die Fläche unter Graph I schraffieren und Graph II nicht berücksichtigen";"Standardbezug: K1 II, K2 I, K4 II. Amtlich; der Erwartungshorizont zeigt die Abbildung mit Schraffur und grau hinterlegtem Rechteck von y = −2 bis 1. Das Feld skizze beschreibt das vorgegebene Material, die Lösung ist eine Zeichnung."
"2026MgrundlegendAAnalysis21-a";"2026";"2026-iqb-ga";"A";"2.1";"Analysis";"a";"1";"1";"";"nein";"I";"Analysis";"Ableitung und Änderungsrate";"Steigung einer Geraden am Graphen begründen";"";"lineare Funktion|Steigungsdreieck|Ableitung konstant|g'(3) = 2";"Ableitung einer linearen Funktion als Steigung kennen";"Begründung";"Begründen Sie";"Text";"Koordinatensystem";"Koordinatensystem mit x-Achse von −6 bis 10 und y-Achse von −10 bis 10, Gitter; die Gerade g steigend durch (1; 0) und (3; 4) mit Steigung 2; der Graph von f parabelförmig: von links oben fallend durch (0; 0), Tiefpunkt (3; −6), steigend durch (6; 0) nach rechts oben";"ohne";"kurz";"Abbildung mit dem Graphen der in IR definierten linearen Funktion g (durch (1; 0) und (3; 4)) und dem Graphen der differenzierbaren Funktion f";"Begründung, dass g'(3) = 2 gilt";"am Graphen von g ein Steigungsdreieck ablesen (2 nach rechts, 4 nach oben); die Ableitung einer linearen Funktion ist überall ihre Steigung";"1";"ganz";"";"";"anhand eines Steigungsdreiecks hat die Gerade die Steigung 2, also ist g'(3) = 2 (amtlich)";"";"I";"g(3) = 4 als Ableitungswert nehmen";"Standardbezug: K1 I, K4 I. Amtlich. Werte nur aus der Abbildung; eine Funktionsgleichung ist nicht gegeben."
"2026MgrundlegendAAnalysis21-b";"2026";"2026-iqb-ga";"A";"2.1";"Analysis";"b";"1";"4";"";"nein";"II|III";"Analysis";"Ableitungsregeln";"Ableitung eines Produkts aus Graphenwerten mit der Produktregel bestimmen";"";"Produktregel|Tangentensteigung|Werte aus dem Graphen|Tiefpunkt hat Ableitung null";"Produktregel anwenden|Funktionswerte und Steigungen aus Graphen ablesen|Tiefpunkt als Stelle mit f' = 0 erkennen";"Rechnung";"Bestimmen Sie";"Zahl";"Koordinatensystem";"Koordinatensystem mit x-Achse von −6 bis 10 und y-Achse von −10 bis 10, Gitter; die Gerade g steigend durch (1; 0) und (3; 4) mit Steigung 2; der Graph von f parabelförmig: von links oben fallend durch (0; 0), Tiefpunkt (3; −6), steigend durch (6; 0) nach rechts oben";"ohne";"kurz";"Abbildung mit dem Graphen der linearen Funktion g (Steigung 2, g(3) = 4) und dem Graphen der differenzierbaren Funktion f (Tiefpunkt (3; −6)); h(x) = f(x) · g(x), definiert in IR";"Steigung der Tangente an den Graphen von h im Punkt (3; h(3))";"h'(3) = f'(3) · g(3) + f(3) · g'(3) mit der Produktregel; f'(3) = 0 (Tiefpunkt), g(3) = 4, f(3) = −6 und g'(3) = 2 aus der Abbildung einsetzen";"3";"ganz|negativ";"";"2026MgrundlegendAAnalysis21-a";"h'(3) = f'(3) · g(3) + f(3) · g'(3) = 0 · 4 + (−6) · 2 = −12 (amtlich)";"f'(3) = 0|f(3) = −6|g(3) = 4|g'(3) = 2";"II";"h'(3) als f'(3) · g'(3) bilden oder f'(3) nicht als null erkennen";"Standardbezug: K2 III, K4 III, K5 II. Amtlich, eigene Rechnung bestätigt. Eigene Schätzung II, amtlich bis III."
