1a     | Skript: 25 | Blatt: 25 | OK
1b     | Skript: 81 | Blatt: 81 | OK
1c     | Skript: 6.25 | Blatt: 6,25 | OK
1d     | Skript: 49 | Blatt: 49 | OK
1e     | Skript: 9 | Blatt: 9 | OK
1f     | Skript: -9 | Blatt: -9 | OK
1g     | Skript: 32 | Blatt: 32 | OK
2a     | Skript: 12 | Blatt: 12 | OK
2b     | Skript: 13 | Blatt: 13 | OK
2c     | Skript: -20 | Blatt: -20 | OK
2d     | Skript: 24 | Blatt: 24 | OK
2e     | Skript: 6 | Blatt: 6 | OK
2f     | Skript: 0 | Blatt: 0 | OK
3a     | Skript: 5 | Blatt: 5 | OK
3b     | Skript: 7 | Blatt: 7 | OK
3c     | Skript: -1.5 | Blatt: -1,5 | OK
3d     | Skript: -6 | Blatt: -6 | OK
3e     | Skript: -4 | Blatt: -4 | OK
3f     | Skript: -7 | Blatt: -7 | OK
4a     | Skript: wA | Blatt: wA | OK
4b     | Skript: fA | Blatt: fA | OK
4c     | Skript: wA | Blatt: wA | OK
4d     | Skript: wA | Blatt: wA | OK
4e     | Skript: fA | Blatt: fA | OK
4a-l   | Skript: 7 | Blatt: 7 | OK
4b-l   | Skript: 3 | Blatt: 3 | OK
4c-l   | Skript: 4 | Blatt: 4 | OK
4d-l   | Skript: 7 | Blatt: 7 | OK
4e-l   | Skript: 1 | Blatt: 1 | OK
5a     | Skript: 5 | Blatt: 5 | OK
5b     | Skript: 9 | Blatt: 9 | OK
5c     | Skript: 0.7 | Blatt: 0,7 | OK
5d     | Skript: 4.3589 | Blatt: 4,36 | OK
5e     | Skript: keine | Blatt: keine | OK
5f     | Skript: 0 | Blatt: 0 | OK
5g     | Skript: 13 | Blatt: 13 | OK
6a-S   | Skript: 1, 2 | Blatt: 1; 2 | OK
6a-Öffn. | Skript: oben | Blatt: oben | OK
6b-S   | Skript: -3, -1 | Blatt: -3; -1 | OK
6b-Öffn. | Skript: oben | Blatt: oben | OK
6c-S   | Skript: 2, 5 | Blatt: 2; 5 | OK
6c-Öffn. | Skript: unten | Blatt: unten | OK
6d-S   | Skript: -4, 0 | Blatt: 0; -4 | OK
6d-Öffn. | Skript: oben | Blatt: oben | OK
6e     | Skript: keine | Blatt: keine | OK
6f     | Skript: zwei | Blatt: zwei | OK
6g     | Skript: eine | Blatt: eine | OK
7a     | Skript: x**2 + 2*x | Blatt: x**2+2*x | OK
7b     | Skript: -x**2 + 4*x | Blatt: -x**2+4*x | OK
7c     | Skript: x**2 + 2*x + 1 | Blatt: x**2+2*x+1 | OK
7d     | Skript: x**2 - 6*x + 9 | Blatt: x**2-6*x+9 | OK
7e     | Skript: x**2 + 3*x - 10 | Blatt: x**2+3*x-10 | OK
7f     | Skript: x**2 + 6*x | Blatt: x*(x+6) | OK
7g     | Skript: 3*x**2 - 12*x | Blatt: 3*x*(x-4) | OK
8a     | Skript: x**2 + 2*x + 3 | Blatt: x**2+2*x+3 | OK
8b     | Skript: x**2 + 5*x - 1 | Blatt: x**2+5*x-1 | OK
8c     | Skript: x**2 + 6*x + 2 | Blatt: x**2+6*x+2 | OK
8d     | Skript: -x**2 + 3*x + 7 | Blatt: -x**2+3*x+7 | OK
8e     | Skript: x**2 - 6*x + 5 | Blatt: x**2-6*x+5 | OK
9a     | Skript: 40 | Blatt: 40 | OK
9b     | Skript: 5 | Blatt: 5 | OK
Sperre | zone_a.tex: keine Sperrzahl, keine Sperrgleichung | OK
Abweichungen: 0
