"typ";"leitidee";"thema";"definition";"beispiel_id";"status"
"Graph einer ganzrationalen Funktion zuordnen";"Differentialrechnung";"Graph zeichnen und zuordnen";"Aus mehreren vorgegebenen Graphen den passenden auswählen und die Wahl über Nullstellen, Symmetrie oder Verhalten im Unendlichen begründen.";"2026-C-1a";"geprüft"
"Verhalten im Unendlichen bestimmen";"Differentialrechnung";"Verhalten im Unendlichen";"Aus Grad und Vorzeichen des Leitkoeffizienten das Verhalten von f für x gegen plus und minus unendlich angeben.";"2026-C-1a";"geprüft"
"Symmetrie am Funktionsterm beurteilen";"Differentialrechnung";"Symmetrie nachweisen";"Über die Exponenten des Funktionsterms oder über f(−x) entscheiden und begründen, ob der Graph achsensymmetrisch zur y-Achse oder punktsymmetrisch zum Ursprung ist.";"2026-C-1b";"geprüft"
"Nullstellen und y-Achsenschnitt unterscheiden";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Eine Aussage über die Lage von Achsenschnittpunkten prüfen, ohne zu rechnen.";"2026-C-1b";"geprüft"
"Zahl der Krümmungs- und Monotoniewechsel vergleichen";"Differentialrechnung";"Monotonie und Krümmung";"Aus dem Verlauf oder dem Grad der Funktion die Anzahl der Monotonie- und Krümmungswechsel gegenüberstellen.";"2026-C-1b";"geprüft"
"Ableitung ganzrationale Funktion";"Differentialrechnung";"Ableitungen bilden";"Erste bis dritte Ableitung einer ganzrationalen Funktion mit Potenz-, Faktor- und Summenregel bilden.";"2026-C-1c";"geprüft"
"Punktprobe am Graphen";"Differentialrechnung";"Anstieg und Tangente";"Durch Einsetzen entscheiden, ob ein gegebener Punkt auf dem Graphen liegt.";"2026-C-1d";"geprüft"
"Tangentengleichung im Punkt";"Differentialrechnung";"Anstieg und Tangente";"Aus Anstieg f'(x0) und einem Punkt des Graphen die Gleichung der Tangente bestimmen.";"2026-C-1d";"geprüft"
"Extrem- und Sattelpunkte über zweite Ableitung";"Differentialrechnung";"Extrem- und Sattelpunkte";"An Stellen mit f'(x) = 0 über das Vorzeichen von f'' und nötigenfalls f''' die Art des Punktes bestimmen und die Koordinaten angeben.";"2026-C-1e";"geprüft"
"Monotonieverhalten angeben";"Differentialrechnung";"Monotonie und Krümmung";"Die Intervalle monotonen Steigens und Fallens aus den Extremstellen und dem Vorzeichen von f' angeben.";"2026-C-1e";"geprüft"
"Wendepunkte über zweite Ableitung";"Differentialrechnung";"Wendepunkte";"Nullstellen von f'' bestimmen, mit f''' ungleich Null bestätigen und die Koordinaten der Wendepunkte angeben.";"2026-C-1f";"geprüft"
