"kennung";"jahr";"niveau";"teil";"sachgebiet";"gruppe";"hilfsmittel";"nr";"papier";"stapel";"seiten";"dublette_von"
"2026MgrundlegendAAnalysis11";"2026";"grundlegend";"A";"Analysis";"1";"";"1";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAnalysis12";"2026";"grundlegend";"A";"Analysis";"1";"";"2";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAnalysis13";"2026";"grundlegend";"A";"Analysis";"1";"";"3";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAnalysis14";"2026";"grundlegend";"A";"Analysis";"1";"";"4";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAnalysis21";"2026";"grundlegend";"A";"Analysis";"2";"";"1";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAnalysis22";"2026";"grundlegend";"A";"Analysis";"2";"";"2";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAGLAA111";"2026";"grundlegend";"A";"AG/LA (A1)";"1";"";"1";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAGLAA112";"2026";"grundlegend";"A";"AG/LA (A1)";"1";"";"2";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAGLAA12";"2026";"grundlegend";"A";"AG/LA (A1)";"2";"";"";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAGLAA211";"2026";"grundlegend";"A";"AG/LA (A2)";"1";"";"1";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAGLAA212";"2026";"grundlegend";"A";"AG/LA (A2)";"1";"";"2";"2026-iqb-ga";"2026-ga-A";"2";"2026MgrundlegendAAGLAA112"
"2026MgrundlegendAAGLAA213";"2026";"grundlegend";"A";"AG/LA (A2)";"1";"";"3";"2026-iqb-ga";"2026-ga-A";"3";""
"2026MgrundlegendAAGLAA221";"2026";"grundlegend";"A";"AG/LA (A2)";"2";"";"1";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAAGLAA222";"2026";"grundlegend";"A";"AG/LA (A2)";"2";"";"2";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAStochastik11";"2026";"grundlegend";"A";"Stochastik";"1";"";"1";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAStochastik12";"2026";"grundlegend";"A";"Stochastik";"1";"";"2";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAStochastik13";"2026";"grundlegend";"A";"Stochastik";"1";"";"3";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAStochastik21";"2026";"grundlegend";"A";"Stochastik";"2";"";"1";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendAStochastik22";"2026";"grundlegend";"A";"Stochastik";"2";"";"2";"2026-iqb-ga";"2026-ga-A";"2";""
"2026MgrundlegendBAnalysisWTR1";"2026";"grundlegend";"B";"Analysis";"";"WTR";"1";"2026-iqb-ga";"2026-ga-B";"4";""
"2026MgrundlegendBAnalysisWTR2";"2026";"grundlegend";"B";"Analysis";"";"WTR";"2";"2026-iqb-ga";"2026-ga-B";"4";""
"2026MgrundlegendBAnalysisMMS1";"2026";"grundlegend";"B";"Analysis";"";"MMS";"1";"2026-iqb-ga-mms";"2026-ga-B";"4";""
"2026MgrundlegendBAnalysisMMS2";"2026";"grundlegend";"B";"Analysis";"";"MMS";"2";"2026-iqb-ga-mms";"2026-ga-B";"4";""
"2026MgrundlegendBAGLAA1WTR";"2026";"grundlegend";"B";"AG/LA (A1)";"";"WTR";"";"2026-iqb-ga";"2026-ga-B";"4";""
"2026MgrundlegendBAGLAA1MMS";"2026";"grundlegend";"B";"AG/LA (A1)";"";"MMS";"";"2026-iqb-ga-mms";"2026-ga-B";"3";""
"2026MgrundlegendBAGLAA2WTR1";"2026";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"1";"2026-iqb-ga";"2026-ga-B";"4";""
