"typ";"ertrag";"punkte_haupt";"punkte_anteil";"zeilen_haupt";"zeilen_neben";"jahre_haupt";"jahre_gesamt";"erster";"letzter";"basis";"kontext";"niveau_I";"niveau_II";"niveau_III";"schritte_mittel";"schritte_fehlt";"thema";"leitidee";"status"
"Sinussatz Seite berechnen";"29";"29";"3.7";"9";"0";"9";"9";"2014";"2025";"0";"9";"0";"6";"3";"3.2";"0";"Sinussatz";"Größen und Messen";"gültig"
"Seite im rechtwinkligen Dreieck berechnen";"23";"23";"2.9";"8";"6";"7";"9";"2014";"2026";"0";"8";"3";"4";"1";"2.4";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"gültig"
"Baumdiagramm ergänzen";"21";"21";"2.7";"6";"0";"6";"6";"2014";"2026";"0";"6";"1";"4";"1";"2.7";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"gültig"
"Wahrscheinlichkeit einstufig";"18";"18";"2.3";"12";"3";"8";"9";"2014";"2026";"4";"8";"10";"1";"1";"1.2";"0";"Wahrscheinlichkeit einstufig";"Daten und Zufall";"gültig"
"Spannweite berechnen";"16";"16";"2.1";"7";"0";"7";"7";"2014";"2026";"1";"6";"6";"1";"0";"1.7";"0";"Kenngrößen";"Daten und Zufall";"gültig"
"Arithmetisches Mittel berechnen";"15";"15";"1.9";"8";"2";"8";"9";"2015";"2026";"3";"5";"6";"1";"1";"1.9";"0";"Kenngrößen";"Daten und Zufall";"gültig"
"Gerade aus Gleichung zeichnen";"14";"14";"1.8";"5";"0";"5";"5";"2021";"2026";"0";"5";"4";"1";"0";"1.4";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Flächeninhalt Dreieck berechnen";"14";"14";"1.8";"4";"0";"3";"3";"2015";"2022";"0";"4";"0";"3";"1";"2.8";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Pythagoras Kathete";"13";"13";"1.7";"6";"0";"5";"5";"2016";"2026";"0";"6";"4";"2";"0";"2.2";"0";"Satz des Pythagoras";"Größen und Messen";"gültig"
"Gleichung im Sachzusammenhang deuten";"12";"12";"1.5";"4";"1";"4";"5";"2018";"2024";"0";"4";"1";"3";"0";"1.0";"0";"Lineare Gleichungssysteme";"Gleichungen und Funktionen";"gültig"
"Schnittpunkte Gerade und Parabel berechnen";"12";"12";"1.5";"3";"0";"3";"3";"2021";"2024";"0";"3";"0";"3";"0";"4.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Winkel im rechtwinkligen Dreieck berechnen";"11";"11";"1.4";"5";"2";"5";"6";"2019";"2026";"0";"5";"3";"2";"0";"2.2";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"gültig"
"Prozentsatz berechnen";"11";"11";"1.4";"5";"2";"5";"5";"2014";"2025";"1";"4";"3";"2";"0";"1.8";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Wachstumstabelle ergänzen";"11";"11";"1.4";"5";"0";"5";"5";"2016";"2026";"0";"5";"3";"2";"0";"2.2";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"gültig"
"Dauer aus Menge und Rate berechnen";"11";"11";"1.4";"4";"0";"4";"4";"2014";"2024";"0";"4";"2";"2";"0";"2.5";"0";"Zuordnungen proportional und antiproportional";"Gleichungen und Funktionen";"gültig"
"Bruchteil einer Fläche bestimmen";"10";"10";"1.3";"9";"0";"9";"9";"2014";"2026";"9";"0";"8";"1";"0";"1.3";"0";"Brüche und Dezimalzahlen";"Zahlen und Operationen";"gültig"
