"ebene";"kennung";"titel";"datei";"von";"bis";"hinweis"
"1";"2019";"Prüfung 2019";"";"";"";""
"2";"2019-A";"Aufgabenvorschlag A";"hefte/fhr/2019-a.pdf";"1";"10";"Prüfung 10.05.2019 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2019-A-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2019-A-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2019-A-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2019-A-2";"Aufgabe 2: Integralrechnung";"";"5";"5";""
"3";"2019-A-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"7";""
"3";"2019-A-3";"Aufgabe 3: Stochastik";"";"8";"8";""
"3";"2019-A-3-eh";"Erwartungshorizont Aufgabe 3";"";"9";"10";""
"2";"2019-C";"Aufgabenvorschlag C";"hefte/fhr/2019-c.pdf";"1";"9";"Prüfung 10.05.2019 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2019-C-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2019-C-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2019-C-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2019-C-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2019-C-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2019-C-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2019-C-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"1";"2020";"Prüfung 2020";"";"";"";""
"2";"2020-A";"Aufgabenvorschlag A";"hefte/fhr/2020-a.pdf";"1";"9";"Prüfung 03.06.2020 · 180 Minuten · 70 BE (28+21+21) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2020-A-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2020-A-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2020-A-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2020-A-2";"Aufgabe 2: Differentialrechnung und Integralrechnung";"";"5";"5";""
"3";"2020-A-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2020-A-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2020-A-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"2";"2020-C";"Aufgabenvorschlag C";"hefte/fhr/2020-c.pdf";"1";"9";"Prüfung 03.06.2020 · 180 Minuten · 70 BE (29+21+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2020-C-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2020-C-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2020-C-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2020-C-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2020-C-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2020-C-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2020-C-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"1";"2021";"Prüfung 2021";"";"";"";""
"2";"2021-A";"Aufgabenvorschlag A";"hefte/fhr/2021-a.pdf";"1";"9";"Prüfung 07.05.2021 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2021-A-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2021-A-1";"Aufgabe 1: Differential- und Integralrechnung";"";"2";"2";""
"3";"2021-A-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2021-A-2";"Aufgabe 2: Anwendung der Differential- und Integralrechnung";"";"5";"5";""
"3";"2021-A-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2021-A-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2021-A-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"2";"2021-B";"Aufgabenvorschlag B";"hefte/fhr/2021-b.pdf";"1";"8";"Prüfung 07.05.2021 · 180 Minuten · 70 BE (32+18+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2021-B-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2021-B-1";"Aufgabe 1: Differential- und Integralrechnung";"";"2";"2";""
