# Stellenliste zu werkzeuge/marken-bau.py – Lesart einzelner Stellen aus katalog/_klassen-belege.md
# (Regel A aus katalog/_marken-entscheidungen.md und die Fälle „Katalog verortet den Stoff anders“).
# Angelegt im Auftrag Marken (archiv/auftrag-marken-2026-09-26.md). Von Hand gepflegt: eine Zeile je
# Stelle und Wirkung; eine Stelle mit mehreren Wirkungen steht in mehreren Zeilen.
#
# Felder, getrennt durch „ | “:
#   Eintrag | Einheit | Reihe und Klasse wie in _klassen-belege.md | Zitat (die Verzeichniszeile ohne
#   Anführungszeichen; beim LS die Lerneinheit hinter „›“) | Wirkung | Quelle | Grund
# Wirkung:
#   gilt                       die Stelle lehrt den Kern und setzt die Einführungsklasse (Regel B bleibt
#                              davon unberührt: trägt die Stelle eine Verlagsmarke, zählt sie trotzdem nicht)
#   ohne Klasse                Vorstufe ohne Typ: die Stelle setzt keine Klasse (Regel A)
#   Einheit N                  die Stelle gilt für Einheit N desselben Eintrags statt für ihre eigene
#   Typ <eintrag> <N>: <Typ>   die Stelle wird Typzeile an diesem Typ (Typname wortgleich aus „Typen je
#                              Lerneinheit“); steht keine Zeile „gilt“ oder „Einheit N“ daneben, setzt sie
#                              keine Klasse der Einheit (Regel A)
# Quelle: „Datei 2“ (katalog/_marken-entscheidungen.md, Tabelle „Die 38 Fälle“) oder „eigen“ (im Lauf
# entschieden, Grund hier und im Bericht bericht-marken.md).
# Seit dem Auftrag Nacht 2026-09-27 (Teil 1) stehen die Potenzfunktionen-Stellen unter potenz-exponentialfunktionen
# Einheit 5, die Vierfeldertafel-Stellen unter daten Einheit 7 und die Klasseneinteilungs-Stellen (Typzeilen) unter daten
# Einheit 1, wie in werkzeuge/klassen-belege-daten.py; Datei 2 nennt die alte Einheit (marken-bau.py liest die neue
# aus der Spalte „Entscheidung“ dort).
# Das Skript bricht ab, wenn eine Zeile keine oder mehr als eine Stelle trifft, wenn ein Typ nicht im
# Eintrag steht, wenn ein Fall aus Datei 2 hier fehlt oder wenn eine Stelle, deren Ermessenstext
# „Vorstufe“, „Einstieg“, „Wiederaufnahme“, „Zeichnen“ oder „Benennen“ enthält, hier nicht steht.

# --- Datei 2, Sorte „Frühe Stelle als Grundstufe gelesen“ (15)
brueche-dezimalzahlen | 1 | Mathematik heute Kl. 6 | Brüche | gilt | Datei 2 | nennt den Kern
flaechen | 1 | Mathematik 2023 Kl. 5 | Flächeninhalte vergleichen | ohne Klasse | Datei 2 | kein Typ „vergleichen“
flaechen | 1 | Schnittpunkt Kl. 5 | 1 Flächeninhalt | gilt | Datei 2 | Kern am Rechteck
flaechen | 1 | Mathematik heute Kl. 5 | Flächenvergleich - Messen von Flächen | gilt | Datei 2 | Messen ist der Kern
kreis | 1 | Sekundo Kl. 9 | Umfang und Flächeninhalt | gilt | Datei 2 | Wiederaufnahme
kreis | 1 | Mathematik 2023 Kl. 5 | Kreise | Typ kreis 1: Radius, Durchmesser, Mittelpunkt in einer Figur benennen und einzeichnen | Datei 2 | Vorstufe
kreis | 1 | Mathematik 2023 Kl. 5 | Kreise | Typ kreis 1: Kreis mit gegebenem Radius oder Durchmesser zeichnen | Datei 2 | Vorstufe
kreis | 1 | Schnittpunkt Kl. 5 | 1 Kreis | Typ kreis 1: Radius, Durchmesser, Mittelpunkt in einer Figur benennen und einzeichnen | Datei 2 | Vorstufe
kreis | 1 | Schnittpunkt Kl. 5 | 1 Kreis | Typ kreis 1: Kreis mit gegebenem Radius oder Durchmesser zeichnen | Datei 2 | Vorstufe
winkel-dreiecke | 4 | Sekundo Kl. 7 | LVL: Übertragen von Dreiecken | ohne Klasse | Datei 2 | kein Typ, LVL
symmetrie-abbildungen | 2 | Mathematik 2023 Kl. 6 | Symmetrische Figuren und Muster erzeugen | gilt | Datei 2 | Typ „halbe Figur … ergänzen“
terme | 1 | Fundamente Kl. 5 | Streifzug: Variablen und Terme | gilt | Datei 2 | Streifzug: nicht für alle (Regel B greift über die Marke)
lineare-gleichungen | 2 | Mathematik 2023 Kl. 8 | Waagen im Gleichgewicht | gilt | Datei 2 | Einstieg im selben Kapitel, gleiche Klasse
quadratische-funktionen | 2 | Sekundo Kl. 10 | LVL: Funktionen mit Gleichungen der Form y = ax2 + c | Typ quadratische-funktionen 2: Parabel verschieben (nach oben/unten über e, nach rechts/links über d) und neue Gleichung oder neuen Scheitel angeben | Datei 2 | Vorstufe, LVL
quadratische-gleichungen | 3 | Sekundo Kl. 10 | Rechnerische Lösung mit quadratischer Ergänzung | gilt | Datei 2 | S. 48 folgt die Lösungsformel, gleiche Klasse
potenz-exponentialfunktionen | 2 | Sekundo Kl. 10 | Exponentielles Wachstum und exponentieller Zerfall | gilt | Datei 2 | Einheit 1 und 2
trigonometrische-funktionen | 4 | Mathematik 2023 Kl. 10 | Schwingungen und Wellen | gilt | Datei 2 | Einstieg im selben Kapitel

# --- Datei 2, Sorte „Katalog verortet den Stoff anders“ (23)
einheiten | 4 | Mathematik 2023 Kl. 8 | Üben: Masse von Prismen und Zylindern | Typ einheiten 4: Masse aus Volumen und Dichte (P10-Form) | Datei 2 | beide Einträge führen den Typ; Üben: nicht für alle
einheiten | 4 | Mathematik 2023 Kl. 8 | Üben: Masse von Prismen und Zylindern | Typ koerper 5: Masse aus Volumen und Dichte (1 m³ Wasser = 1000 kg) | Datei 2 | dieselbe Stelle als Typzeile an koerper Einheit 5
koerper | 5 | Mathematik 2023 Kl. 9 | Zusammengesetzte Körper | gilt | Datei 2 | Zerlegen ist die Fertigkeit
terme | 1 | Elemente Kl. 8 (Ausgabe 2016) | 1.1 Aufstellen eines Terms mit Variablen | gilt | Datei 2 | nennt den Kern
binomische-formeln | 1 | Fundamente Kl. 8 | 2.3 Terme vereinfachen | gilt | Datei 2 | Kern der Einheit
binomische-formeln | 1 | Elemente Kl. 8 (Ausgabe 2016) | 1.3 Addieren und Subtrahieren von Termen | gilt | Datei 2 | Kern der Einheit
potenz-exponentialfunktionen | 5 | Sekundo Kl. 10 | Potenzenfunktionen | gilt | Datei 2 | alle Reihen lehren Potenzfunktionen in Kl. 9/10 (neue Einheit 5)
potenz-exponentialfunktionen | 5 | Mathematik 2023 Kl. 10 | Potenzfunktionen | gilt | Datei 2 | wie oben
potenz-exponentialfunktionen | 5 | Schnittpunkt Kl. 10 | 2 Potenzfunktionen mit natürlichen Exponenten | gilt | Datei 2 | wie oben
potenz-exponentialfunktionen | 5 | LS Kl. 9 | 7 Potenzfunktionen mit natürlichen Exponenten | gilt | Datei 2 | wie oben
potenz-exponentialfunktionen | 5 | Fundamente Kl. 9 | 6.2 Potenzfunktionen mit natürlichen Exponenten | gilt | Datei 2 | wie oben
potenz-exponentialfunktionen | 5 | Elemente Kl. 9 (Ausgabe 2016) | 5.4.1 Potenzfunktionen mit natürlichen Exponenten | gilt | Datei 2 | wie oben
potenz-exponentialfunktionen | 5 | mathe.delta Kl. 9 | 6.1 Potenzfunktionen mit natürlichem Exponenten | gilt | Datei 2 | wie oben
daten | 7 | Schnittpunkt Kl. 9 | 1 Vierfeldertafeln | gilt | Datei 2 | fünf Reihen lehren die Vierfeldertafel in Kl. 9/10 (neue Einheit 7)
daten | 7 | Schnittpunkt Kl. 10 | 5 Vierfeldertafeln | gilt | Datei 2 | wie oben
daten | 7 | LS Kl. 9 | 2 Vierfeldertafel – mit Anteilen argumentieren | gilt | Datei 2 | wie oben
daten | 7 | Fundamente Kl. 10 | 5.6 Vierfeldertafeln | gilt | Datei 2 | wie oben
daten | 7 | mathe.delta Kl. 10 | 2.3 Vierfeldertafeln | gilt | Datei 2 | wie oben
daten | 4 | Mathematik 2023 Kl. 9 | Streumaße | gilt | Datei 2 | Spannweite ist Einheit 4
daten | 1 | Sekundo Kl. 8 | LVL: Klasseneinteilung | Typ daten 1: Klassen zu einer Urliste bilden (gleich breit, Randregel) | Datei 2 | Klassen bilden ist Sek I; LVL: nicht für alle
daten | 1 | Sekundo Kl. 8 | LVL: Klasseneinteilung | Typ daten 1: Häufigkeitstabelle mit Klassen auszählen | Datei 2 | wie oben
daten | 1 | Sekundo Kl. 8 | LVL: Klasseneinteilung | Typ daten 1: Säulendiagramm der Klassen zeichnen | Datei 2 | wie oben
daten | 1 | Sekundo Kl. 8 | LVL: Klasseneinteilung | Typ daten 1: Aussage aus der Klassentabelle prüfen (in welcher Klasse liegen die meisten) | Datei 2 | wie oben
